N,Narrow_Area,Wide_Area
55100,0.4415934664,0.4387949183
55600,0.4418399281,0.4450467626
56100,0.4423565062,0.4466791444
56600,0.4437243816,0.4411908127
57100,0.4429702277,0.4415831874
57600,0.4426927083,0.4421718750
58100,0.4436884682,0.4425800344
58600,0.4434300341,0.4408310580
59100,0.4423113367,0.4432994924
59600,0.4425973154,0.4442617450
60100,0.4426539101,0.4427670549
60600,0.4428927393,0.4422475248
61100,0.4428052373,0.4443289689
61600,0.4429155844,0.4445211039
62100,0.4437890499,0.4418260870
62600,0.4418530351,0.4408418530
63100,0.4425134707,0.4406719493
63600,0.4428600629,0.4443113208
64100,0.4432886115,0.4441170047
64600,0.4429659443,0.4446083591
65100,0.4426390169,0.4401705069
65600,0.4423399390,0.4454314024
66100,0.4422813918,0.4386308623
66600,0.4421876877,0.4412837838
67100,0.4426676602,0.4460029806
67600,0.4419556213,0.4408269231
68100,0.4429515419,0.4408281938
68600,0.4431166181,0.4496195335
69100,0.4430752533,0.4414298119
69600,0.4439913793,0.4428491379
70100,0.4429329529,0.4428616262
70600,0.4435495751,0.4399801700
71100,0.4431561181,0.4430506329
71600,0.4438449721,0.4444441341
72100,0.4433897365,0.4414618585
72600,0.4421983471,0.4445454545
73100,0.4435595075,0.4427482900
73600,0.4431942935,0.4437024457
74100,0.4429730094,0.4449230769
74600,0.4417895442,0.4452587131
75100,0.4429906791,0.4457816245
75600,0.4429470899,0.4416071429
76100,0.4429526938,0.4427266754
76600,0.4430613577,0.4436671018
77100,0.4432996109,0.4434863813
77600,0.4441030928,0.4415219072
78100,0.4434430218,0.4428553137
78600,0.4431730280,0.4460496183
79100,0.4428723135,0.4438672566
79600,0.4422311558,0.4405703518
80100,0.4426392010,0.4452584270
80600,0.4428436725,0.4422282878
81100,0.4439642417,0.4433304562
81600,0.4425943627,0.4423455882
82100,0.4436199756,0.4428306943
82600,0.4428668281,0.4443777240
83100,0.4419193742,0.4429277978
83600,0.4425897129,0.4397942584
84100,0.4426361474,0.4437395957
84600,0.4427340426,0.4417872340
85100,0.4427732080,0.4481386604
85600,0.4428457944,0.4419883178
86100,0.4425249710,0.4419616725
86600,0.4425900693,0.4415819861
87100,0.4425878301,0.4421779564
87600,0.4427773973,0.4435479452
88100,0.4432951192,0.4449023837
88600,0.4428589165,0.4432957111
89100,0.4424466891,0.4456969697
89600,0.4426406250,0.4401462054
90100,0.4430832408,0.4460843507
90600,0.4436335541,0.4410794702
91100,0.4427694841,0.4406048299
91600,0.4434825328,0.4461779476
92100,0.4431791531,0.4458566775
92600,0.4424546436,0.4446641469
93100,0.4444103115,0.4439967777
93600,0.4434455128,0.4429519231
94100,0.4431296493,0.4447874601
94600,0.4438964059,0.4434926004
95100,0.4440788644,0.4442555205
95600,0.4423577406,0.4427981172
96100,0.4434079084,0.4421144641
96600,0.4433447205,0.4395279503
97100,0.4434727085,0.4410185376
97600,0.4426454918,0.4408247951
98100,0.4429520897,0.4417431193
98600,0.4434705882,0.4406896552
99100,0.4439031282,0.4435247225
99600,0.4435180723,0.4404036145
